Image,Question,Answer,Predict
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue,blue
c21c69d14faa792,What type of dish is shown in the image,salad,salad
c21c69d14faa792,What color is the bowl holding the salad,yellow,yellow
c21c69d14faa792,What color are the chicken pieces in the salad,white,white
c0975f297eda584,What does the fettuccine do in the frame,fills,part of a dish
c0975f297eda584,What type of pasta is shown,fettuccine,spaghetti
c0975f297eda584,What is the texture of the sauce,creamy,smooth and creamy
c0975f297eda584,What is scattered on top of the pasta,cheese,grated cheese
c0975f297eda584,Where are the thin strands of cheese located,on top of,top of the pasta
4a760002afb43b8,What is the color of the base of the dish,white,white
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,mixed with asparagus
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,golden-brown
614c5dee532b78e,What color are the figs,purple,dark purple to black
614c5dee532b78e,What type of fruit is shown in the image,figs,dates
614c5dee532b78e,Where is the goat cheese placed,on top of,top of the dates
614c5dee532b78e,What is the texture of the goat cheese,creamy,crumbly and somewhat moist
614c5dee532b78e,How is the goat cheese distributed,scattered,on top
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,deep red
a31ea68b260d0c2,What type of meat is shown in the image,filet,beef
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,dark brown
a31ea68b260d0c2,Where are the filets placed,on a plate,white plate
a31ea68b260d0c2,How is the exterior of the filets described,seared,well-seared crust
260ac1e7d31775e,What color is the plate,blue,dark blue
260ac1e7d31775e,What type of food is being served,fish,whitefish
260ac1e7d31775e,What herb is scattered on the fish,dill,dill
260ac1e7d31775e,What color is the fish generally,white,white
395a4e305e40a37,What flavor is the fish,lemony,smoky warm
395a4e305e40a37,What type of food is shown in the image,fish,savory pastry
395a4e305e40a37,What color is the plate,orange,orange
395a4e305e40a37,Where is the fish placed,on plate,on a plate
395a4e305e40a37,What color are the herbs on the fish,green,green
a5b87a311528eb8,What color is the plate,yellow,white
a5b87a311528eb8,What type of food is in the center of the plate,fish,whole fish
a5b87a311528eb8,What color is the fish,golden-brown,reddish-orange
a5b87a311528eb8,Where is the fish located,on a plate,on a plate
a5b87a311528eb8,What color are the scallions on the fish,green,green
ce3a724e27e8f9f,What color is the fish,white,light color
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,rice
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown
ce3a724e27e8f9f,Where is the ginger placed,on top of,on top of fish
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green
27bc4f71b275ae7,What is in the clear glass,drink,beer or frothy drink
27bc4f71b275ae7,What color is the foam on the drink,white,white
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,orange
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on the surface
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,smooth and shiny
c3720ab16e601cc,What type of dessert is shown in the image,flan,flan
c3720ab16e601cc,What color is the plate,white,white
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,caramel-colored
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,chicken
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,spread over the toppings
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,purple
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,diced into small pieces
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple
a04609d90ed6c41,What is the texture of the overall mixture,moist,soft and moist
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,evenly throughout
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,glass serving bowl
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,to the brim
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,cranberries
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,cranberries
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,glass bowl
93caec07215ba61,What color is the interior of the focaccia,yellow,light
93caec07215ba61,What type of bread is shown in the image,focaccia,focaccia bread
93caec07215ba61,What color is the basil on top of the focaccia,green,green
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden surface
82927363da2288b,What color is the fondue in the bowl,yellow,yellow
82927363da2288b,What is the fondue contained in,bowl,a bowl
82927363da2288b,What is the state of the bread's crust,toasted,browned and crispy
82927363da2288b,What color is the crust of the bread,golden-brown,golden brown
82927363da2288b,Where is the fondue dripping from,down from,piece of bread
2d2938a660f6b1d,What color are the pretzel rings,brown,light brown
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,cereal mix
82c11793c3b8518,What color is the dessert,brown,brown
82c11793c3b8518,What type of food is shown in the image,dessert,cake or bread
82c11793c3b8518,What shape are the desserts,rectangular,square-shaped
f189044f1aaf168,What color are the slivered almonds on the candies,brown,light beige
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,almond slices
f189044f1aaf168,How are the almonds positioned on the candies,scattered,unevenly distributed
ff63f9d9e982d84,What color is the baking dish,white,white
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,baking dish
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,sprinkled evenly
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,orange
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,on top
c1995791b9f2571,What color is the pan,black,black
c1995791b9f2571,What color is the base of the frittata,yellow,light yellow
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,distributed evenly
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomatoes
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,top of the dish
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,broccoli
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,light yellow
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,mozzarella or cheddar
3fd383827ec0643,What color are the crab fritters,brown,brown
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,clustered
3fd383827ec0643,What is the food served on,plate,decorative plate
3fd383827ec0643,What color are the lemon wedges,yellow,yellow
3fd383827ec0643,Where are the lemon wedges located,on the left,left side of plate
8fb828778ec290d,What color is the larger fritter,golden-brown,golden brown
8fb828778ec290d,What type of food is on the plate,fritter,potato pancake
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,crispy and golden-brown
8fb828778ec290d,What color is the plate,white,white
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,in a stack
90566bb352454ee,What color is the chocolate frosting,brown,dark brown
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a plate
a238a1570e7fe42,What is the shape of the frosting,swirled,swirl
a238a1570e7fe42,What color is the frosting,pink,pink
a238a1570e7fe42,What is the dessert in the image,cupcake,cupcake
a238a1570e7fe42,What fruit is in the frosting,cherry,raspberries
a238a1570e7fe42,Where is the frosting located,on top of,on top
d5e6b885904e072,What are the containers holding the frosting,bowls,metal bowls
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,covers the cake
0de51666d9bbd9c,What is the dessert in the image,cake,chocolate cake
0de51666d9bbd9c,What color is the frosting,brown,brown
0de51666d9bbd9c,Where is the cake placed,on the plate,on a plate
97145150b1c3a0a,What color is the plate,blue,light blue
97145150b1c3a0a,What type of dish are shown in the image,fries,loaded fries
97145150b1c3a0a,What color is the melted cheese,orange,yellow
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of fries
a88c7dd881219e4,What color are the French fries in the casserole,yellow,golden brown
a88c7dd881219e4,What type of dish is the food in the image,casserole,baked pasta casserole
17b989adaf9150e,What color is the plate,white,white
17b989adaf9150e,What type of food is described as golden-brown,fries,calzones
17b989adaf9150e,What color are some of the fillings,golden-brown,reddish-orange
17b989adaf9150e,What color are some of the other fillings,orange,reddish
17b989adaf9150e,Where are the green spices sprinkled,on top of,on top
a9c7fa28ed37744,What is the primary color of the fries,yellow,golden brown
a9c7fa28ed37744,What vegetable are the fries made from,potato,potatoes
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,brown
a9c7fa28ed37744,Where are the fries placed,on a plate,on a plate
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange
892b050aed75a1b,What type of food is shown in the image,fries,sweet potato fries
892b050aed75a1b,What is the appearance of the edges of some fries,charred,browned
892b050aed75a1b,Where are the fries arranged on the plate,in the center,somewhat scattered manner
892b050aed75a1b,What color is the napkin under the plate,blue,blue
07cf1edcce84e68,What is the base color of the fudge,white,white
07cf1edcce84e68,What type of food is shown in the image,fudge,fudge or chocolate bark
07cf1edcce84e68,What color are the cranberries in the fudge,red,red
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,walnuts
bf0ab2726eb40b3,What color is the fudge,brown,light brown
bf0ab2726eb40b3,What type of dessert is shown,fudge,fudge
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,center of the image
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,smooth texture
34f562a43a24940,What color is the crust of the galette,golden-brown,golden brown
34f562a43a24940,What color are the cherry tomatoes,red,red
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,on the galette
34f562a43a24940,What color are the basil leaves,green,green
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,golden brown
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,french pastry
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,light dusting
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,strawberries
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,golden brown
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberry
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,on top
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,light brown
fb707f2c874780c,What is the main ingredient in the image,garlic,garlic
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,golden-brown
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,silver
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,gelatin salad
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,smooth and creamy
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,unique and interesting dish
3920c6be53a6f6c,What color is the chicken,golden-brown,brown
3920c6be53a6f6c,What is the chicken served in,bowl,a bowl
3920c6be53a6f6c,How is the chicken arranged,sliced,on top of rice
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,on top
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,seasoning or sauce
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken
a3729bd13d1a3ce,What color is the plate,white,white
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a white rectangular plate
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red
00e593048406ff1,What is the color of the ginger syrup,translucent,light yellowish hue
00e593048406ff1,What is the syrup contained in,jar,glass jar
00e593048406ff1,What color is the ginger syrup,amber,light yellowish
00e593048406ff1,Where is the jar positioned in the image,in the center,center of the image
fea12437470c358,What color is the crust of the treats,yellow,golden yellow
fea12437470c358,What type of treats are shown in the image,gingerbread,pastries
fea12437470c358,What is on top of the gingerbread treats,chocolate,heart-shaped decoration
fea12437470c358,What color is the plate,beige,beige
e54f96ac6dd17b3,What color is the gingerbread house,brown,brown
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,yes
e54f96ac6dd17b3,What color is the icing on the roof,white,white
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,flower shape
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,red
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,top left corner
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,gingerbread or molasses
59f3fdd700719ff,What color are the gingerbread cookies,brown,brown
59f3fdd700719ff,Where is the glass situated,on a plate,on a plate
40731821312df84,What is the color of the vanilla glaze,beige,creamy white
40731821312df84,What type of baked goods are shown in the image,cookies,oatmeal cookies
40731821312df84,How are the cookies arranged,stacked,stacked on top
40731821312df84,Where is the glaze spread on the cookies,on top of,top of each cookie
e2f346240095e65,What color is the bowl the soup is served in,white,white
e2f346240095e65,What color is the soup base,yellow,light yellow
e2f346240095e65,What meat is scattered throughout the soup,bacon,bacon
e2f346240095e65,Where are the chopped green onions placed,on top,on top
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,gnocchi
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,shrimp
bb9b1c1288afbc7,What color are the asparagus spears,green,green
f72def05a510d0d,What color is the chicken sausage,brownish-red,light brown
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,gnocchi
f72def05a510d0d,What color are the broccoli florets,green,green
f72def05a510d0d,Where are the food items located,on a plate,in a bowl
0596db289a95c00,What color is the rotini pasta,yellow,light beige
0596db289a95c00,What type of food is the rotini,pasta,pasta dish
0596db289a95c00,What color is the tomato-based sauce,red,red
0596db289a95c00,Where is the sprig of parsley placed,on top of,top of pasta
0596db289a95c00,What color is the sprig of parsley,green,green
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,not visible
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,small pasta shapes
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,interspersed throughout the dish
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,red
24e93d74ec63682,Where is the green sprig of parsley located,at the top,top right corner
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,on top of vegetables
4fe57bd9df72e3f,What type of meat is used in the dish,beef,ground meat
4fe57bd9df72e3f,What color are the potatoes,yellow,light yellow
4fe57bd9df72e3f,What color are the carrots,orange,orange
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon
ba01bc8f6481ce0,What material is the granita served in,glass,clear glass
e26db2540b79be7,What fruit is used to make the granita,watermelon,watermelon
e26db2540b79be7,What is placed on top of the granita,mint,sprig of mint
56f2be6ebb5a498,What color is the granola,brown,light brown
56f2be6ebb5a498,What type of food is shown in the image,granola,granola
56f2be6ebb5a498,What color are the cranberries in the granola,red,red
1de8bda867af12d,What is the primary color of the granola,brown,golden-brown
1de8bda867af12d,What type of food is being described,granola,granola
1de8bda867af12d,What color are the cranberries in the granola,red,red
1de8bda867af12d,How are the coconut flakes distributed in the granola,scattered,evenly mixed into granola
1de8bda867af12d,Where are the almonds located in the granola,in the mixture,in the granola
c8325a55672f711,What is the color of the creamy sauce,yellow,pale yellow
c8325a55672f711,What is the main ingredient in the dish,potatoes,cheese
c8325a55672f711,What color are the potato slices,yellow,golden-brown
c8325a55672f711,Where are the potatoes placed,in a baking dish,on top of dish
6469a613547241c,What color is the dish,yellow,blue
6469a613547241c,What type of container holds the scallops,dish,a bowl
6469a613547241c,What color are the scallops,white,white
6469a613547241c,What is the color of the sauce surrounding the scallops,yellow,yellow
6469a613547241c,Where is the dish positioned in the frame,in the lower center,lower part
8659c8bf322c959,What is the size of the ham pieces,diced,small cubes
8659c8bf322c959,What type of seafood is in the bowl,shrimp,shrimp
f8f3ab847fbd98e,What color are the carrot pieces,orange,orange
f8f3ab847fbd98e,What is the main liquid in the pot,broth,a broth
f8f3ab847fbd98e,Where are the carrots and celery positioned,on the left,in a pot
37efc4acb95a4cc,What is the food served in,bowl,a bowl
37efc4acb95a4cc,What color is the lemon wedge,lemon,yellow
37efc4acb95a4cc,What color is the lemon wedge,yellow,yellow
37efc4acb95a4cc,Where is the lemon wedge placed in the bowl,on the left side,left side
768d83ac0f75f2c,How are the chicken pieces arranged in the dish,scattered,around a mound
768d83ac0f75f2c,What color is the sauce in the gumbo,brown,dark brown
768d83ac0f75f2c,What type of meat is included in the gumbo besides sausage,chicken,pork
768d83ac0f75f2c,What type of meat is included in the gumbo besides chicken,sausage,sausage
57fcd575d52b6f1,What color is the pita bread,beige,light beige
57fcd575d52b6f1,What type of food is shown in the image,gyros,falafel wrap
57fcd575d52b6f1,What color is the gyro meat,brown,brown
57fcd575d52b6f1,Where are the gyros mostly arranged in the image,on the left side,on a plate
57fcd575d52b6f1,What color are the lettuce leaves,green,green
501fae196787866,What is the texture of the panko crust,crispy,crispy
501fae196787866,What type of fish is shown in the image,halibut,cod
501fae196787866,What color is the halibut,white,white
501fae196787866,What color are the beans,green,green
501fae196787866,Where is the crispy panko crust located,on top,on the fish fillet
ef1a71508ed5873,What color is the crust of the halibut,beige,golden brown
ef1a71508ed5873,What type of fish is being served,halibut,fish fillets
ef1a71508ed5873,What color is the broccoli,green,green
ef1a71508ed5873,What is the broccoli located on,on the right,a plate
8a148819c0cb4f0,What color are the halloumi pieces after frying,golden-brown,golden-brown
8a148819c0cb4f0,What type of cheese is being fried,halloumi,halloumi
8a148819c0cb4f0,What color is the plate,gray,gray
8a148819c0cb4f0,Where is the lemon slice positioned on the plate,on the left,left side
8a148819c0cb4f0,What color is the lemon slice,yellow,yellow
d0a17cef7c0faf3,What fruit is visible on the surface of the ham,apricot,cannot confirm fruit
d0a17cef7c0faf3,What color is the exterior of the ham,reddish-brown,brown
d0a17cef7c0faf3,What is next to the ham in the upper right quadrant of the plate,bowl,brown sauce
d0a17cef7c0faf3,Where is the bowl of brown sugar sauce located,in the upper right,top right corner
5d818c429496351,What color is the ham,pink,light pinkish-brown
5d818c429496351,What type of meat is shown in the image,ham,ham
cc1e04c85b3b6fb,What color is the ham inside the sandwich,pink,pink
cc1e04c85b3b6fb,What is the main food item in the image,sandwich,sandwich
cc1e04c85b3b6fb,What color are the pickle slices,green,green
cc1e04c85b3b6fb,Where are the food items placed,on a plate,white plate
cc1e04c85b3b6fb,What color are the edges of the pickle slices,green,darker green
1c1452434772ef5,What is the primary color of the ham slices,pink,pink
1c1452434772ef5,What type of meat is shown in the image,ham,ham
1c1452434772ef5,What is the appearance of the edges of some ham slices,caramelized,slightly charred or burnt
1c1452434772ef5,Where are the ham slices layered,layered on,on top of greens
1c1452434772ef5,What is the ham layered on top of,lettuce,mixed salad greens
b397bd5d4937bfb,What is the main vegetable in the hash,potato,sweet potato
b397bd5d4937bfb,What color are the cubed sweet potatoes,orange,orange
b397bd5d4937bfb,Where are the sprigs of dill located,throughout,on the plate
b397bd5d4937bfb,What color is the yolk of the fried egg,yellow,yellow
8ba0dca8f0c3725,What color is the Texas Hash,brownish,yellow and brown
8ba0dca8f0c3725,What is the food served on,plate,white plate
8ba0dca8f0c3725,What color is the melted cheese,yellow,golden yellow
8ba0dca8f0c3725,Where are the scallions placed,sprinkled on top,on top
8ba0dca8f0c3725,What color is the plate,white,white
7e60dd9c05f81e5,What color are the sweet potato cubes,orange,orange
7e60dd9c05f81e5,What type of vegetable is used in the hash,potato,diced potatoes
7e60dd9c05f81e5,How is the egg prepared,fried,over easy
7e60dd9c05f81e5,Where is the fried egg placed,on top of,top of pile
7e60dd9c05f81e5,What is the red-colored item in front of the potatoes,bacon,bacon
bae167eccbe36fa,What food item is shown in the image,hash browns,fried bread
bae167eccbe36fa,What color is the top of the top left hash brown,golden-brown,golden-brown
bae167eccbe36fa,Are the hash browns touching each other,yes,yes
bae167eccbe36fa,Where are the hash browns placed,on a plate,white plate
9b5b05482f16491,What color are the hash browns,golden-brown,golden brown
9b5b05482f16491,What are the hash browns served on,plate,brown plate
9b5b05482f16491,What color is the rim of the plate,orange,orange
9b5b05482f16491,What is sprinkled on the white creamy sauce,chives,green onions
71f29ccc1bb79d2,What color are the chicken hearts and mushrooms,brown,brown
71f29ccc1bb79d2,What type of meat is visible in the image,chicken,beef
71f29ccc1bb79d2,What color are the round objects in the upper right corner,yellow,yellow
71f29ccc1bb79d2,"Where are the pale yellow, round objects located in the image",in the upper right,in the background
6af6a4433e4a0c7,What color is the top of the Cornish Game Hen,golden-brown,golden brown
6af6a4433e4a0c7,What type of bird is shown in the image,hen,roasted chicken
6af6a4433e4a0c7,What color are the darker grains in the rice stuffing,brown,shades of brown
6af6a4433e4a0c7,Where is the Cornish Game Hen positioned in the image,at the top left,upper portion of plate
4e8597ee35c2dfd,What type of food is in the bowl,salad,salad
4e8597ee35c2dfd,What colors are present in the salad dressing,green-white,white or light green
4e8597ee35c2dfd,Where is the dressing drizzled,over the salad leaves,over the salad
4e8597ee35c2dfd,What vegetable pieces are in the salad,tomatoes,tomatoes and lettuce
00bf2bb6e5a159a,What type of beans are clustered on top of the hummus,edamame,edamame
00bf2bb6e5a159a,What is the base of the dish made of,hummus,creamy substance
00bf2bb6e5a159a,What color are the small seeds scattered on the hummus,black,black
00bf2bb6e5a159a,Where are the edamame beans located,on top of,center of the bowl
b3642208c36c1c0,What is the color of the hummus,yellow,light beige
b3642208c36c1c0,What is the dip in the bowl,hummus,hummus
b3642208c36c1c0,Where are the crackers placed in relation to the hummus,submerged,on the edge
b3642208c36c1c0,What is served alongside the hummus,crackers,toasted bread
b3642208c36c1c0,Where are the crackers positioned in the bowl,on the right,side of the bowl
1d926823e55a19f,What is the hummus served in,bowl,white bowl
1d926823e55a19f,What color is the hummus,brownish-green,light greenish-brown
1d926823e55a19f,Where is the bowl situated in the image,towards the top left,top left
3c4a5088c3151a4,What color is the hummus,beige,white
3c4a5088c3151a4,What is the name of the food in the bowl,hummus,hummus
3c4a5088c3151a4,What color is the oil in the center of the hummus,yellow,yellow
3c4a5088c3151a4,What is arranged around the rim of the bowl,tomatoes,slices of tomatoes
3c4a5088c3151a4,What is dusted on the hummus,spices,reddish-brown spice
8ee85aedb5b644e,What color is the hummus,yellow-beige,light brown
8ee85aedb5b644e,What is the hummus served in,bowl,a bowl
8ee85aedb5b644e,What color are the carrots,orange,orange
8ee85aedb5b644e,What is the hummus served with,carrots,baby carrots
8ee85aedb5b644e,Where are the carrots placed,on the plate,in a bowl
3d48f6b7482aba6,What color is the jam in the jars,reddish-brown,red
3d48f6b7482aba6,What containers are used to hold the jam,jars,jars
3d48f6b7482aba6,Where are the jars positioned in the frame,in the center,in the foreground
bbf959f60d3b884,What color is the nectarine jam,orange,orange
bbf959f60d3b884,What are the jars made of,jars,glass
bbf959f60d3b884,What material are the lids made of,glass,metal
bbf959f60d3b884,Where are the jars primarily located,in the center,on a table
bbf959f60d3b884,What color is the background,pinkish-white,light color
f065b6f63d2d4a8,Where is the apricot jam located in the image,in the center,center of the image
f065b6f63d2d4a8,Which part of the image contains the jam,bottom half,center of the image
f065b6f63d2d4a8,What color is the apricot jam,orange,orange
f065b6f63d2d4a8,How would you describe the color of the jam,vibrant,orange
38ebbd7b792ff0d,What are the jars made of,glass,glass
38ebbd7b792ff0d,What fruit is used to make the jam,papaya,orange
38ebbd7b792ff0d,How would you describe the papaya used in the jam,fresh,orange hue
38ebbd7b792ff0d,Where are the jars placed,on a white cloth,on a red cloth
252b508f8033600,What color is the coffee jelly,dark brown,dark brown
252b508f8033600,What shape are the coffee jelly pieces,cubes,square-shaped
252b508f8033600,What color is the liquid surrounding the coffee jelly,beige,creamy white
252b508f8033600,How are the coffee jelly cubes distributed in the mugs,scattered,evenly spread across
465a36d85d1bf6d,What color is the jerky,black,dark brown
465a36d85d1bf6d,What color is the jerky described as,dark,black
465a36d85d1bf6d,How is the jerky arranged in the dish,stacked,single layer
465a36d85d1bf6d,What is the jerky placed in,dish,white ceramic dish
465a36d85d1bf6d,Where is the jerky pile located in the frame,in the center,center of the frame
02649a5833f44cd,What is the primary color of the beef jerky,brown,dark brown
02649a5833f44cd,What type of food is shown in the image,beef jerky,cooked meat
02649a5833f44cd,How are the beef jerky pieces arranged in the image,scattered,haphazardly piled
02649a5833f44cd,What color variation is seen in some of the beef jerky pieces,reddish-brown,reddish-brown
02649a5833f44cd,Where are the darkest pieces of beef jerky located,around the edges,throughout the image
f4559d130566a05,What color are the beef jerky pieces,brown,dark brown
f4559d130566a05,What type of food is shown in the image,beef jerky,dried beef
